20240518-174222
Epoch 0/10 ,Loss 4.410  ,tv_loss 2.002,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.716  ,tv_loss 2.104,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.809  ,tv_loss 2.040,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.716  ,tv_loss 2.002,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.610  ,tv_loss 2.032,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.671  ,tv_loss 1.973,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.739  ,tv_loss 2.035,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.615  ,tv_loss 2.084,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.546  ,tv_loss 2.066,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.731  ,tv_loss 1.997,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.577  ,tv_loss 2.058,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.702  ,tv_loss 1.967,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.799  ,tv_loss 1.930,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.573  ,tv_loss 1.932,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.645  ,tv_loss 2.104,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.763  ,tv_loss 1.956,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.730  ,tv_loss 1.989,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.828  ,tv_loss 1.915,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.636  ,tv_loss 1.898,small_score_num 0 ,lr 0.01000 
Epoch 0/10 ,Loss 4.843  ,tv_loss 1.951,small_score_num 0 ,lr 0.01000 
